trading_symbol,instrument_key,instrument_type,name,exchange
SIGNPOST,BSE_EQ|INE0KGZ01021,B,Signpost India Limited,BSE
EIEL,NSE_EQ|INE0LLY01014,EQ,ENVIRO INFRA ENGINEERS L,NSE
MARUTI,NSE_EQ|INE585B01010,EQ,MARUTI SUZUKI INDIA LTD.,NSE
VPRPL,BSE_EQ|INE0AE001013,B,VISHNU PRAKASH R PUNGLIA LIMIT,BSE
MEDANTA,BSE_EQ|INE474Q01031,A,Global Health Limited,BSE
BYKE,NSE_EQ|INE319B01014,EQ,THE BYKE HOSPITALITY LTD,NSE
SABTNL,BSE_EQ|INE416A01044,B,SRI ADHIKARI BROTHERS TELEVISI,BSE
NATIONALUM,NSE_EQ|INE139A01034,EQ,NATIONAL ALUMINIUM CO LTD,NSE
MBLINFRA,NSE_EQ|INE912H01013,EQ,MBL INFRASTRUCTURE LTD,NSE
TARIL,NSE_EQ|INE763I01026,EQ,TRANS & RECTI. LTD,NSE
NDL,NSE_EQ|INE875G01048,EQ,NANDAN DENIM LIMITED,NSE
CYBERMEDIA,BSE_EQ|INE278G01037,T,CYBER MEDIA (INDIA) LTD.,BSE
MAHLOG,BSE_EQ|INE766P01016,B,Mahindra Logistics Limited,BSE
CHALET,BSE_EQ|INE427F01016,A,Chalet Hotels Limited,BSE
RADIOCITY,NSE_EQ|INE919I01024,EQ,MUSIC BROADCAST LIMITED,NSE
PSB,BSE_EQ|INE608A01012,B,PUNJAB & SIND BANK,BSE
GOKULAGRO,NSE_EQ|INE314T01033,EQ,GOKUL AGRO RESOURCES LTD,NSE
TCIFINANCE,BSE_EQ|INE911B01018,B,TCI FINANCE LTD.,BSE
FIEMIND,BSE_EQ|INE737H01014,B,FIEM INDUSTRIES LTD.,BSE
NAVKARURB,NSE_EQ|INE268H01044,EQ,NAVKAR URBANSTRUCTURE LTD,NSE
NINSYS,NSE_EQ|INE395U01014,EQ,NINTEC SYSTEMS LIMITED,NSE
LEMONTREE,NSE_EQ|INE970X01018,EQ,LEMON TREE HOTELS LTD,NSE
GREAVESCOT,BSE_EQ|INE224A01026,A,GREAVES COTTON LTD.,BSE
VLEGOV,NSE_EQ|INE03HW01020,EQ,VL E GOV AND IT SOL LTD,NSE
MAANALU,BSE_EQ|INE215I01027,B,MAAN ALUMINIUM LTD.,BSE
DCBBANK,BSE_EQ|INE503A01015,A,DCB BANK LIMITED,BSE
SANOFICONR,BSE_EQ|INE0UOS01011,A,Sanofi Consumer Healthcare Ind,BSE
DCAL,BSE_EQ|INE385W01011,B,Dishman Carbogen Amcis Limited,BSE
AMRUTANJAN,BSE_EQ|INE098F01031,B,AMRUTANJAN HEALTH CARE LTD.,BSE
SANATHAN,BSE_EQ|INE0JPD01013,B,Sanathan Textiles Limited,BSE
SEAMECLTD,BSE_EQ|INE497B01018,B,SEAMEC LTD.,BSE
TEJASNET,BSE_EQ|INE010J01012,A,Tejas Networks Limited,BSE
SGFIN,NSE_EQ|INE618R01015,EQ,SG FINSERVE LIMITED,NSE
MANAPPURAM,NSE_EQ|INE522D01027,EQ,MANAPPURAM FINANCE LTD,NSE
JOCIL,NSE_EQ|INE839G01010,EQ,JOCIL LIMITED,NSE
SMLT,NSE_EQ|INE017W01010,EQ,SARTHAK METALS LIMITED,NSE
VINYLINDIA,NSE_EQ|INE250B01029,EQ,VINYL CHEMICALS (I) LTD.,NSE
JYOTIRES,BSE_EQ|INE577D01013,B,JYOTI RESINS & ADHESIVES LTD.,BSE
