trading_symbol,sector,industry,market_cap
AUTOIND,Automobile and Auto Components,Auto Components,298.0
JAMNAAUTO,Automobile and Auto Components,Auto Components,4356.0
FIEMIND,Automobile and Auto Components,Auto Components,5896.0
LGBBROSLTD,Automobile and Auto Components,Auto Components,5813.0
JAYBARMARU,Automobile and Auto Components,Auto Components,986.0
RACLGEAR,Automobile and Auto Components,Auto Components,1302.0
BANCOINDIA,Automobile and Auto Components,Auto Components,11569.0
BHARATSE,Automobile and Auto Components,Auto Components,1176.0
TALBROAUTO,Automobile and Auto Components,Auto Components,1741.0
NRBBEARING,Automobile and Auto Components,Auto Components,2786.0
STUDDS,Automobile and Auto Components,Auto Components,2173.0
CARRARO,Automobile and Auto Components,Auto Components,3071.0
MENONBE,Automobile and Auto Components,Auto Components,646.0
ASAL,Automobile and Auto Components,Auto Components,848.0
ASKAUTOLTD,Automobile and Auto Components,Auto Components,9179.0
JTEKTINDIA,Automobile and Auto Components,Auto Components,4443.0
MSUMI,Automobile and Auto Components,Auto Components,31799.0
KROSS,Automobile and Auto Components,Auto Components,1181.0
MMFL,Automobile and Auto Components,Auto Components,1460.0
SUPRAJIT,Automobile and Auto Components,Auto Components,6288.0
VARROC,Automobile and Auto Components,Auto Components,9930.0
HINDCOMPOS,Automobile and Auto Components,Auto Components,679.0
TIINDIA,Automobile and Auto Components,Auto Components,59085.0
OMAXAUTO,Automobile and Auto Components,Auto Components,205.0
AUTOAXLES,Automobile and Auto Components,Auto Components,2517.0
LUMAXTECH,Automobile and Auto Components,Auto Components,9746.0
URAVIDEF,Automobile and Auto Components,Auto Components,248.0
SHRIPISTON,Automobile and Auto Components,Auto Components,11916.0
SANDHAR,Automobile and Auto Components,Auto Components,3343.0
MOTHERSON,Automobile and Auto Components,Auto Components,115514.0
BELRISE,Automobile and Auto Components,Auto Components,14625.0
WHEELS,Automobile and Auto Components,Auto Components,2157.0
SKFINDIA,Automobile and Auto Components,Auto Components,10131.0
PRICOLLTD,Automobile and Auto Components,Auto Components,7176.0
HITECHGEAR,Automobile and Auto Components,Auto Components,1381.0
JBMA,Automobile and Auto Components,Auto Components,14918.0
SUNDRMFAST,Automobile and Auto Components,Auto Components,20047.0
RICOAUTO,Automobile and Auto Components,Auto Components,1326.0
EXIDEIND,Automobile and Auto Components,Auto Components,32211.0
SJS,Automobile and Auto Components,Auto Components,5621.0
UNOMINDA,Automobile and Auto Components,Auto Components,74997.0
BHARATFORG,Automobile and Auto Components,Auto Components,66234.0
LUMAXIND,Automobile and Auto Components,Auto Components,4586.0
IGARASHI,Automobile and Auto Components,Auto Components,1505.0
SANSERA,Automobile and Auto Components,Auto Components,9622.0
ARE&M,Automobile and Auto Components,Auto Components,17631.0
ENDURANCE,Automobile and Auto Components,Auto Components,37715.0
SETCO,Automobile and Auto Components,Auto Components,238.0
UCAL,Automobile and Auto Components,Auto Components,275.0
ASAHIINDIA,Automobile and Auto Components,Auto Components,24637.0
CIEINDIA,Automobile and Auto Components,Auto Components,16282.0
NDRAUTO,Automobile and Auto Components,Auto Components,2118.0
UNIPARTS,Automobile and Auto Components,Auto Components,2188.0
RML,Automobile and Auto Components,Auto Components,2256.0
FMGOETZE,Automobile and Auto Components,Auto Components,2942.0
ALICON,Automobile and Auto Components,Auto Components,1429.0
PRECAM,Automobile and Auto Components,Auto Components,1778.0
ROLEXRINGS,Automobile and Auto Components,Auto Components,3012.0
DIVGIITTS,Automobile and Auto Components,Auto Components,1954.0
PRITIKAUTO,Automobile and Auto Components,Auto Components,250.0
STERTOOLS,Automobile and Auto Components,Auto Components,1082.0
SHIVAMAUTO,Automobile and Auto Components,Auto Components,369.0
SCHAEFFLER,Automobile and Auto Components,Auto Components,63983.0
MINDACORP,Automobile and Auto Components,Auto Components,14307.0
CRAFTSMAN,Automobile and Auto Components,Auto Components,16106.0
SUNDRMBRAK,Automobile and Auto Components,Auto Components,293.0
ZFCVINDIA,Automobile and Auto Components,Auto Components,23985.0
GNA,Automobile and Auto Components,Auto Components,1354.0
BHARATGEAR,Automobile and Auto Components,Auto Components,166.0
SONACOMS,Automobile and Auto Components,Auto Components,29998.0
SINTERCOM,Automobile and Auto Components,Auto Components,321.0
RKFORGE,Automobile and Auto Components,Auto Components,9920.0
BOSCHLTD,Automobile and Auto Components,Auto Components,108537.0
SHARDAMOTR,Automobile and Auto Components,Auto Components,5896.0
PAVNAIND,Automobile and Auto Components,Auto Components,506.0
